timeStamp,motorSPD,motorTEMP,packVOLT,packTEMP,packCURR,packCCL
2024-10-26T17:05:25.000000000Z,7903,9827,20,6785,8917,827
2024-10-27T07:04:05.000000000Z,6416,1448,7113,1093,6727,9138
2024-10-27T09:20:13.000000000Z,9237,2751,6771,6686,4765,6593
2024-10-26T19:39:20.000000000Z,1949,8347,4517,1671,1514,8244
2024-10-26T23:11:31.000000000Z,5096,6770,3917,9374,4165,6919
2024-10-26T22:31:27.000000000Z,7872,7048,3920,4940,9558,9902
2024-10-27T03:48:56.000000000Z,6719,7488,8165,8249,7280,4934
2024-10-27T11:39:20.000000000Z,2004,4042,9544,6836,2438,3347
2024-10-27T06:58:11.000000000Z,1448,352,4474,9150,4952,7069
2024-10-27T14:37:31.000000000Z,6518,6384,6258,2219,8995,6626
2024-10-27T06:46:55.000000000Z,3140,8958,513,6622,4671,4431
2024-10-27T01:30:06.000000000Z,7439,1339,5597,6371,8864,9928
2024-10-26T17:52:57.000000000Z,1271,3687,3966,3988,7574,6399
2024-10-26T18:12:06.000000000Z,9526,1486,3786,9571,8628,3033
2024-10-26T15:48:52.000000000Z,4036,3846,6154,6890,4567,5601
2024-10-27T14:31:24.000000000Z,356,6963,7240,2403,3164,4254
2024-10-27T01:21:44.000000000Z,9824,8458,3798,8161,2456,7115
2024-10-27T05:09:01.000000000Z,7774,7674,1597,1631,4723,7036
2024-10-26T15:00:07.000000000Z,3994,7375,4410,9076,8425,7644
2024-10-26T18:11:10.000000000Z,6517,2335,9234,4315,6117,9136
2024-10-27T11:18:13.000000000Z,2710,7196,3774,1050,6595,1237
2024-10-27T08:26:25.000000000Z,9355,1344,7539,5758,4466,9284
2024-10-27T04:21:21.000000000Z,7370,6050,3699,962,2307,321
2024-10-27T08:15:17.000000000Z,1789,6160,4969,900,8403,1407
2024-10-26T21:45:12.000000000Z,3880,899,2170,5626,4853,2929
2024-10-26T20:59:55.000000000Z,1451,6307,2491,9858,9805,6365
2024-10-27T12:43:38.000000000Z,7867,1077,8260,5930,1854,8125
2024-10-27T14:50:44.000000000Z,965,1730,4374,4848,9103,1224
2024-10-26T18:51:23.000000000Z,6804,4109,5555,6757,6853,5507
2024-10-27T03:23:22.000000000Z,2118,2801,6229,8140,8777,6075
2024-10-26T23:07:00.000000000Z,6065,8797,5449,8120,2103,7102
2024-10-27T02:05:15.000000000Z,608,5644,9140,5272,3846,3140
2024-10-26T18:45:23.000000000Z,9746,271,9045,2786,3721,7502
2024-10-27T00:04:47.000000000Z,3655,3645,6580,5699,1917,2183
2024-10-27T12:01:49.000000000Z,7597,8762,9198,2223,5958,3003
2024-10-26T23:28:51.000000000Z,6352,2497,2221,5915,3533,8000
2024-10-27T01:48:43.000000000Z,9337,2288,4493,4008,2906,6273
2024-10-26T17:14:44.000000000Z,2502,2016,4747,5383,388,2416
2024-10-26T21:16:51.000000000Z,1375,7534,445,513,306,2991
2024-10-26T23:35:22.000000000Z,3228,1602,8463,2715,4819,4461
2024-10-26T15:05:21.000000000Z,3615,1252,8704,1854,1849,9039
2024-10-27T08:32:03.000000000Z,3850,7694,1147,2734,3015,6895
2024-10-27T10:45:39.000000000Z,937,1250,2262,2758,6403,4519
2024-10-26T15:13:00.000000000Z,5649,6746,8168,4162,5063,5967
2024-10-27T04:43:26.000000000Z,3163,1933,7312,9674,9703,5159
2024-10-26T20:52:41.000000000Z,4297,4497,6421,4606,6888,568
2024-10-27T00:40:50.000000000Z,5362,9772,9180,4769,6208,8831
2024-10-27T02:43:46.000000000Z,7887,9131,8877,5937,5808,873
2024-10-27T07:14:04.000000000Z,6753,1508,5979,7096,899,6196
2024-10-27T10:33:29.000000000Z,6597,6715,9811,300,6955,2423
2024-10-26T18:12:49.000000000Z,5776,393,9635,398,9950,1569
2024-10-27T03:23:53.000000000Z,5333,8668,1787,98,7106,9466
2024-10-27T05:35:17.000000000Z,8811,3565,6151,194,5238,1403
2024-10-26T19:10:06.000000000Z,7341,5079,9368,2360,1176,9067
2024-10-26T20:55:11.000000000Z,6563,502,2688,5366,267,7522
2024-10-26T16:11:40.000000000Z,6623,7746,8926,9826,6234,5950
2024-10-27T06:01:35.000000000Z,2891,6035,6964,1046,3011,899
2024-10-26T23:37:22.000000000Z,2571,3852,3277,2980,4183,8096
2024-10-27T00:55:24.000000000Z,9769,4499,4014,3766,6397,7714
2024-10-26T19:43:40.000000000Z,2996,8104,7157,6027,1973,9957
2024-10-27T07:22:00.000000000Z,3212,7370,8635,4510,7642,4638
2024-10-27T10:47:49.000000000Z,4251,2966,1467,3011,4665,4306
2024-10-27T10:56:26.000000000Z,9304,6116,8996,7954,9228,7724
2024-10-26T17:40:03.000000000Z,7131,236,3629,1070,6843,4693
2024-10-27T11:12:21.000000000Z,108,3208,2349,8104,5777,3146
2024-10-26T22:56:13.000000000Z,9562,5651,3424,4781,8312,1813
2024-10-26T20:36:58.000000000Z,2034,923,8029,3766,3299,177
2024-10-26T19:36:43.000000000Z,7751,126,8094,3510,1040,8081
2024-10-26T22:48:34.000000000Z,9877,7225,4253,448,3053,3356
2024-10-26T20:45:55.000000000Z,7186,7882,7518,2616,7425,4801
2024-10-27T07:25:06.000000000Z,9291,4852,8255,4980,9357,661
2024-10-27T08:15:08.000000000Z,501,2866,4282,4483,9062,1175
2024-10-26T16:57:16.000000000Z,6324,3096,9565,4733,4928,8565
2024-10-26T19:25:51.000000000Z,4470,7172,7829,4251,270,8452
2024-10-26T16:51:04.000000000Z,4030,6054,7127,6262,7557,8211
2024-10-26T21:24:01.000000000Z,6395,5700,9195,6202,5145,5342
2024-10-27T08:14:35.000000000Z,3310,9859,7466,9150,7458,8674
2024-10-26T17:09:55.000000000Z,2795,4940,2655,3744,8176,1720
2024-10-26T19:32:35.000000000Z,7177,2813,9214,5667,4852,704
2024-10-27T06:39:04.000000000Z,3218,9531,9179,1481,261,7415
2024-10-27T03:49:18.000000000Z,6234,6939,2174,7481,52,9966
2024-10-27T06:29:24.000000000Z,3770,8004,259,8727,7808,5115
2024-10-27T08:48:14.000000000Z,1257,4442,6852,7270,8964,6407
2024-10-27T05:00:48.000000000Z,692,4450,1265,8005,3353,573
2024-10-26T17:44:23.000000000Z,8625,6323,9817,1507,3188,9618
2024-10-27T11:33:01.000000000Z,1092,1274,8628,7448,6961,9298
2024-10-26T17:04:46.000000000Z,9164,2440,8382,132,8244,7547
2024-10-26T20:32:29.000000000Z,1051,8327,1760,2346,3416,5199
2024-10-27T11:56:09.000000000Z,2730,9204,8570,9986,6107,4658
2024-10-26T21:30:24.000000000Z,4315,4651,7187,7039,5260,2740
2024-10-27T07:30:26.000000000Z,8129,256,2618,7170,3844,8493
2024-10-27T02:40:48.000000000Z,1521,9885,8525,3209,7705,2306
2024-10-26T17:38:56.000000000Z,6371,5242,4150,113,7903,2919
2024-10-27T07:11:57.000000000Z,8436,9325,1209,2367,7259,2218
2024-10-26T23:03:50.000000000Z,9057,6302,7643,3630,3333,4036
2024-10-26T16:51:23.000000000Z,8845,1465,4552,6375,6980,6914
2024-10-27T13:57:38.000000000Z,1798,9904,9537,2896,7824,6774
2024-10-27T06:07:22.000000000Z,4452,2431,1015,6294,3088,4956
2024-10-26T20:31:53.000000000Z,8908,3681,1225,4079,5744,2251
2024-10-26T17:18:20.000000000Z,341,5424,5549,9369,7122,4091
2024-10-27T00:33:52.000000000Z,9181,1868,4900,9428,5913,5891
2024-10-27T06:55:11.000000000Z,8492,6326,1144,7338,7111,3375
2024-10-27T00:38:14.000000000Z,7267,4799,5896,2898,2338,7838
2024-10-27T13:32:47.000000000Z,6118,8253,9482,9256,9476,7968
2024-10-27T12:57:19.000000000Z,7578,1355,7293,259,8220,3763
2024-10-27T04:40:48.000000000Z,9266,3911,5679,4360,7386,3588
2024-10-27T05:09:46.000000000Z,3050,8928,876,6748,5550,1882
2024-10-27T07:29:46.000000000Z,4931,6318,9464,5977,5380,4308
2024-10-26T15:43:15.000000000Z,8764,3139,7734,8527,9835,3990
2024-10-26T18:43:13.000000000Z,6623,2439,9302,8467,7423,1849
2024-10-26T18:04:55.000000000Z,4474,3419,5641,386,136,3809
2024-10-27T02:30:31.000000000Z,8990,1658,7119,6905,1113,4447
2024-10-27T14:56:53.000000000Z,6764,4741,1129,3439,156,784
2024-10-26T23:27:01.000000000Z,1340,9354,5945,2822,553,5944
2024-10-26T23:59:24.000000000Z,5897,7255,7109,1660,7348,6527
2024-10-26T21:10:53.000000000Z,1990,1789,562,3259,4600,3828
2024-10-27T14:22:41.000000000Z,5595,1732,955,7223,9020,3066
2024-10-26T22:09:02.000000000Z,8305,3597,7705,1968,1759,6538
2024-10-27T05:21:38.000000000Z,8413,9415,7997,1754,9483,7095
2024-10-27T06:14:21.000000000Z,1338,7979,6921,1936,4684,3248
2024-10-27T00:39:16.000000000Z,2208,620,4347,9173,8148,1887
2024-10-26T22:30:32.000000000Z,1089,8608,9065,2408,3664,8733
2024-10-27T10:02:54.000000000Z,8977,3176,1918,149,2680,2346
2024-10-26T18:35:24.000000000Z,5916,1699,8529,1761,5276,1760
2024-10-27T04:43:27.000000000Z,6010,1992,8083,8463,4781,6841
2024-10-26T15:22:53.000000000Z,3681,890,2582,5840,3695,3806
2024-10-26T18:21:02.000000000Z,3701,8428,775,1378,77,8466
2024-10-26T22:21:29.000000000Z,6804,4049,3476,5859,4559,733
2024-10-27T11:43:46.000000000Z,6619,1907,890,9533,654,3766
2024-10-27T10:41:14.000000000Z,4506,5631,5644,2463,883,5826
2024-10-26T21:35:44.000000000Z,3279,2846,3083,1176,2832,9655
2024-10-26T22:20:03.000000000Z,7059,1927,500,6096,4934,4534
2024-10-27T13:45:25.000000000Z,1199,3778,4586,2056,3318,9530
2024-10-27T11:46:27.000000000Z,7545,5777,1126,2315,7357,2938
2024-10-27T13:19:25.000000000Z,3563,7552,6730,1376,5993,4996
2024-10-26T19:40:15.000000000Z,5438,1635,6640,5751,5282,2711
2024-10-27T05:22:35.000000000Z,9528,6007,3063,6178,246,7221
2024-10-27T02:23:46.000000000Z,5566,7622,7860,2234,7178,5841
2024-10-27T09:42:05.000000000Z,5927,921,1976,7574,5232,3731
2024-10-27T03:43:14.000000000Z,1761,5803,1946,4358,9189,1044
2024-10-27T14:57:23.000000000Z,466,7641,7334,3457,776,7180
2024-10-27T12:14:06.000000000Z,643,6640,895,1476,630,6312
2024-10-26T18:17:57.000000000Z,8074,7686,3297,2962,2557,1438
2024-10-26T18:58:51.000000000Z,4688,8760,9483,6217,8236,9644
2024-10-26T21:40:11.000000000Z,2324,7438,5226,6264,1301,3897
2024-10-26T21:20:34.000000000Z,5861,800,299,6988,6083,321
2024-10-26T22:34:53.000000000Z,7395,7182,3376,1482,1640,3959
2024-10-27T06:39:32.000000000Z,8261,2082,108,119,7653,4057
2024-10-26T23:13:50.000000000Z,5083,1823,3239,1974,4681,4341
2024-10-26T21:36:29.000000000Z,5647,150,9039,8946,8742,1511
2024-10-27T12:47:51.000000000Z,923,245,6517,3558,7342,948
2024-10-26T23:59:46.000000000Z,2225,1842,571,2344,1233,7671
2024-10-27T08:28:34.000000000Z,8629,5374,2063,7810,3009,1462
2024-10-27T03:55:30.000000000Z,1751,9701,293,9980,9993,2373
2024-10-27T00:56:26.000000000Z,3424,9941,6069,663,8592,8800
2024-10-27T08:09:45.000000000Z,1303,8887,9532,3489,5628,1014
2024-10-27T14:22:41.000000000Z,3170,4332,9224,7813,6516,2740
2024-10-27T00:47:10.000000000Z,1587,6363,5927,4741,9760,450
2024-10-27T03:41:46.000000000Z,2713,6731,3210,1510,3122,8327
2024-10-26T21:47:27.000000000Z,1231,3251,5566,4313,3686,4076
2024-10-27T09:31:13.000000000Z,4523,4392,3621,8170,9484,1268
2024-10-26T23:55:30.000000000Z,908,2279,345,3359,4631,4100
2024-10-27T07:54:29.000000000Z,4627,9835,5339,4359,4552,9326
2024-10-27T01:14:57.000000000Z,9469,2109,8939,8486,4221,9731
2024-10-26T20:53:39.000000000Z,3289,6530,5556,2413,7616,1006
2024-10-27T14:57:56.000000000Z,3185,4555,343,9421,6646,568
2024-10-26T23:38:33.000000000Z,1829,9419,7222,6809,5890,646
2024-10-27T00:48:30.000000000Z,8282,8809,4325,7371,8711,9230
2024-10-27T05:21:19.000000000Z,7876,4773,9331,9208,6385,4281
2024-10-26T18:55:33.000000000Z,6537,6464,1925,5636,2628,8159
2024-10-26T17:45:25.000000000Z,1349,1252,2012,8561,7222,1001
2024-10-26T20:57:32.000000000Z,91,3762,3379,4643,3244,38
2024-10-27T02:47:00.000000000Z,6890,2135,7391,8812,9152,9460
2024-10-26T21:16:29.000000000Z,4598,4444,4590,5182,4708,3554
2024-10-27T11:34:50.000000000Z,5532,1215,3141,4331,3878,2724
2024-10-27T14:39:19.000000000Z,161,6716,3671,925,3573,7091
2024-10-26T15:56:16.000000000Z,7131,3710,8573,2088,7762,4855
2024-10-27T10:56:55.000000000Z,3342,2480,5675,2356,4956,9216
2024-10-27T12:57:31.000000000Z,7868,5271,9073,3448,4849,4295
2024-10-27T14:52:39.000000000Z,1182,8222,9408,4174,3928,1332
2024-10-26T23:21:44.000000000Z,1227,9147,2544,3057,7762,2093
2024-10-26T17:41:45.000000000Z,9767,7417,9086,7762,4255,5466
2024-10-27T06:24:22.000000000Z,5142,9336,7952,9003,1921,49
2024-10-27T00:01:56.000000000Z,5154,8814,1618,7087,6940,8279
2024-10-27T13:00:36.000000000Z,6133,4118,4500,2545,6619,7560
2024-10-27T12:18:58.000000000Z,2416,385,4742,7243,1133,2480
2024-10-27T09:52:18.000000000Z,3878,464,5641,2798,9946,892
2024-10-27T00:17:29.000000000Z,8526,9354,2347,7583,4265,7769
2024-10-27T01:01:46.000000000Z,1716,7984,5588,6921,3548,3953
2024-10-26T22:04:36.000000000Z,7854,1215,9097,851,4293,5168
2024-10-26T17:11:32.000000000Z,831,6064,7705,4892,8378,6244
2024-10-27T06:34:16.000000000Z,6316,4694,1208,9694,3017,197
2024-10-26T23:21:35.000000000Z,3404,6135,1994,6102,3541,9703
2024-10-27T10:07:16.000000000Z,1368,1614,5211,4029,9634,6699
2024-10-26T21:14:34.000000000Z,6937,9119,3211,4914,3178,2812
2024-10-26T17:03:48.000000000Z,5997,1897,6374,7901,9901,6613
2024-10-26T23:54:59.000000000Z,7784,7252,2144,3283,6558,6482
2024-10-26T21:16:23.000000000Z,4538,3982,5195,646,867,9643
2024-10-26T18:53:15.000000000Z,8713,6063,6342,5498,7319,4216
2024-10-27T03:07:00.000000000Z,4037,2677,8912,5498,720,7024
2024-10-26T20:17:10.000000000Z,1726,6823,896,8973,8761,5146
2024-10-26T20:55:04.000000000Z,3352,4023,7168,3479,2432,1766
2024-10-26T21:58:26.000000000Z,2655,9398,138,3031,6027,4975
2024-10-27T12:58:52.000000000Z,5818,3474,7826,9591,5284,4671
2024-10-27T14:13:28.000000000Z,6449,7814,3788,515,2462,4366
2024-10-27T00:40:20.000000000Z,8639,8348,4775,3993,309,7129
2024-10-27T03:35:04.000000000Z,5873,3726,7525,3189,7701,9633
2024-10-27T02:09:47.000000000Z,1773,2824,4947,4303,5238,7240
2024-10-27T09:54:07.000000000Z,2732,9344,264,194,5662,7497
2024-10-26T17:46:59.000000000Z,8845,6588,9993,1206,5490,5682
2024-10-27T00:47:17.000000000Z,2476,4003,3969,7204,6979,5599
2024-10-27T01:25:08.000000000Z,1914,7305,1789,5606,5346,6187
2024-10-26T15:34:42.000000000Z,5473,4903,5464,8229,2073,3054
2024-10-27T06:14:45.000000000Z,7514,487,856,1287,4404,8288
2024-10-27T12:41:14.000000000Z,7501,8880,368,5619,928,43
2024-10-26T18:31:38.000000000Z,6349,6197,7900,8607,2631,6004
2024-10-26T18:58:11.000000000Z,2585,3363,1191,1622,4798,3347
2024-10-27T03:52:59.000000000Z,3621,4247,6888,7447,6396,3840
2024-10-27T01:05:03.000000000Z,5518,5011,3527,8936,2675,883
2024-10-26T21:41:39.000000000Z,4486,4300,7014,7867,4914,6265
2024-10-26T20:08:19.000000000Z,5738,3518,1544,9306,7575,8074
2024-10-27T04:11:50.000000000Z,7125,4833,4519,234,5548,6789
2024-10-26T21:24:59.000000000Z,6702,4430,1063,5421,4170,3447
2024-10-27T12:55:38.000000000Z,4079,534,3503,1243,3921,3540
2024-10-27T13:58:08.000000000Z,3009,3127,1609,5479,1560,4032
2024-10-26T22:27:28.000000000Z,3249,8050,6547,8741,4675,9658
2024-10-27T07:34:43.000000000Z,4864,4521,2220,2392,3097,410
2024-10-26T21:05:45.000000000Z,1434,674,2849,4740,4653,4407
2024-10-26T18:28:33.000000000Z,3855,110,7338,1243,4087,4299
2024-10-27T09:24:07.000000000Z,7066,9024,5243,6966,962,5571
2024-10-27T06:38:54.000000000Z,8112,5597,130,9589,297,6684
2024-10-27T07:03:39.000000000Z,1327,3914,9597,4409,4792,3406
2024-10-27T13:56:19.000000000Z,5689,1480,5491,9216,2843,6310
2024-10-27T06:31:41.000000000Z,9573,7580,8150,865,1391,2265
2024-10-26T20:53:46.000000000Z,369,4418,5918,255,520,7754
2024-10-27T03:12:44.000000000Z,2433,4006,5804,6120,1940,7799
2024-10-27T03:22:23.000000000Z,9604,8736,8720,7245,9627,7937
2024-10-27T11:28:50.000000000Z,7937,8722,4240,3370,7272,6095
2024-10-26T19:05:26.000000000Z,2927,2247,981,4770,3533,6657
2024-10-26T19:57:00.000000000Z,4574,3976,1827,8840,6813,9262
2024-10-26T20:37:25.000000000Z,5403,2495,3402,6786,2808,8257
2024-10-27T14:10:58.000000000Z,8601,3435,385,2483,5605,1600
2024-10-27T11:31:05.000000000Z,8915,5552,3277,8614,7333,2864
2024-10-27T11:03:33.000000000Z,3908,1516,3979,7730,5434,8750
2024-10-27T05:03:10.000000000Z,4702,2924,6358,6380,9928,4382
2024-10-27T03:43:57.000000000Z,7762,9032,9693,8164,2014,713
2024-10-27T06:58:37.000000000Z,3402,9575,4353,9738,4482,4590
2024-10-26T15:26:52.000000000Z,8649,9300,7786,7284,4215,9681
2024-10-26T15:44:03.000000000Z,8006,1231,8961,1572,7346,1922
2024-10-27T03:50:28.000000000Z,4256,5486,5480,8217,6237,4410
2024-10-26T20:36:36.000000000Z,8290,5548,3513,1866,6454,1677
2024-10-26T23:38:28.000000000Z,2012,3266,3949,4920,6524,3947
2024-10-27T03:53:12.000000000Z,665,5207,2643,1324,6311,8532
2024-10-27T11:23:25.000000000Z,2298,1072,5441,5875,5991,3313
2024-10-27T08:47:02.000000000Z,8379,5880,9878,5411,9847,5806
2024-10-27T07:58:16.000000000Z,8535,4673,2589,1268,6209,8930
2024-10-26T21:17:39.000000000Z,8393,4060,3643,232,3945,6182
2024-10-26T17:40:45.000000000Z,160,1056,2953,2668,4947,7343
2024-10-27T10:42:23.000000000Z,6849,2108,7436,9250,3331,3499
2024-10-27T05:01:59.000000000Z,4837,6650,696,3847,4894,3158
2024-10-27T05:52:56.000000000Z,4069,4436,1396,8446,9007,3178
2024-10-27T11:07:13.000000000Z,1258,3050,3468,9414,8593,6889
2024-10-27T08:44:21.000000000Z,4335,1732,726,9912,2994,3276
2024-10-26T17:02:45.000000000Z,6422,2252,4162,5971,2363,2318
2024-10-26T21:02:16.000000000Z,1426,4912,1710,7412,7324,785
2024-10-27T06:30:47.000000000Z,4432,2290,4533,1814,2765,6992
2024-10-26T23:39:53.000000000Z,9385,7127,3657,4026,9101,164
2024-10-27T04:57:22.000000000Z,6344,1237,6636,2371,4410,1666
2024-10-26T18:47:31.000000000Z,5614,8213,2968,8394,490,854
2024-10-27T13:45:52.000000000Z,9361,5433,9787,3369,5713,5674
2024-10-26T21:54:47.000000000Z,9514,8496,2468,4204,3064,4908
2024-10-26T21:32:55.000000000Z,5726,6566,1625,303,2135,7122
2024-10-26T22:32:21.000000000Z,5964,2068,4089,4639,5061,6193
2024-10-27T04:04:55.000000000Z,6829,967,3746,5326,4965,4186
2024-10-27T07:39:07.000000000Z,2712,1348,6139,5958,6369,2359
2024-10-26T16:28:18.000000000Z,401,8420,3650,6690,2882,8881
2024-10-26T18:22:38.000000000Z,4845,5811,8477,9089,6213,1576
2024-10-26T21:27:32.000000000Z,8229,7473,9839,7722,4818,5018
2024-10-27T08:45:57.000000000Z,4529,21,7244,6504,2422,4481
2024-10-26T17:17:15.000000000Z,2002,8230,7821,8447,4090,2941
2024-10-27T03:04:33.000000000Z,5502,734,4656,5178,2941,9883
2024-10-26T23:47:21.000000000Z,2164,8803,6589,9032,4688,6863
2024-10-27T11:46:04.000000000Z,1424,6330,880,7286,514,3097
2024-10-26T16:32:03.000000000Z,9826,7571,8298,8709,972,7411
2024-10-27T14:46:46.000000000Z,4711,8231,8527,6556,79,9054
2024-10-27T11:10:18.000000000Z,6853,3199,8864,2193,3841,7208
2024-10-27T05:47:19.000000000Z,9869,1572,2642,6286,3056,7257
2024-10-27T12:58:03.000000000Z,8769,1074,4714,2232,7285,9883
2024-10-27T08:08:08.000000000Z,4939,8252,2257,557,8670,2596
2024-10-27T11:15:53.000000000Z,3292,2106,1722,8974,2113,3603
2024-10-27T05:10:15.000000000Z,778,7479,456,5066,9033,1020
2024-10-27T04:06:40.000000000Z,6542,1477,8354,1428,8718,4190
2024-10-27T11:58:15.000000000Z,9411,9316,4321,5860,7258,4398
2024-10-27T03:34:46.000000000Z,9709,8345,9915,6753,4668,9815
2024-10-27T02:09:57.000000000Z,5696,1708,8833,9185,3450,7808
2024-10-27T05:12:05.000000000Z,5026,4015,2166,6808,1584,8123
2024-10-27T07:37:25.000000000Z,8254,4808,7696,8551,8795,8356
2024-10-26T23:34:56.000000000Z,9267,190,7477,2944,7112,7815
2024-10-27T03:13:06.000000000Z,8016,4656,381,8926,6,3812
2024-10-27T07:07:34.000000000Z,3251,9421,7222,4462,5252,3010
2024-10-27T12:48:51.000000000Z,6174,6649,2012,9435,6549,5439
2024-10-27T14:34:42.000000000Z,5755,4888,2781,4176,4632,4636
2024-10-27T13:43:18.000000000Z,9448,7273,5023,8126,1885,480
2024-10-27T07:01:43.000000000Z,6121,2485,7828,5250,4405,6499
2024-10-27T01:58:07.000000000Z,3207,5176,6276,7023,8467,4482
2024-10-27T05:21:18.000000000Z,7107,3654,2035,3723,3619,9802
2024-10-26T21:07:36.000000000Z,4466,813,4820,1052,862,825
2024-10-27T11:50:40.000000000Z,6771,9004,7416,6290,9541,3821
2024-10-27T06:01:43.000000000Z,3483,6259,9420,7578,3901,6965
2024-10-27T02:16:00.000000000Z,9687,2070,9080,9414,729,9546
2024-10-27T01:19:17.000000000Z,4765,6719,5074,764,9428,988
2024-10-27T09:11:42.000000000Z,7632,436,2874,9822,9789,2943
2024-10-27T09:08:52.000000000Z,4094,2504,1724,5821,9735,6978
2024-10-26T21:03:42.000000000Z,1498,1952,7655,4622,2846,2878
2024-10-27T11:05:38.000000000Z,7746,697,6956,6685,844,3037
2024-10-26T22:45:57.000000000Z,8034,7739,7707,5067,6571,7214
2024-10-26T15:18:24.000000000Z,2811,275,2311,2496,8374,6325
2024-10-26T20:15:46.000000000Z,894,3197,5060,6097,2231,8425
2024-10-27T04:37:56.000000000Z,90,2000,1087,6144,1021,4242
2024-10-27T09:23:34.000000000Z,1615,1284,5433,6578,6617,3570
2024-10-26T20:50:21.000000000Z,7134,2251,7890,5644,1522,4741
2024-10-26T19:09:14.000000000Z,6752,9350,4327,6049,2045,6869
2024-10-27T13:40:44.000000000Z,8928,3646,5186,6529,5133,1288
2024-10-27T06:50:03.000000000Z,2192,6348,1850,4469,2544,2
2024-10-27T00:05:25.000000000Z,3497,7215,1333,6275,8713,8543
2024-10-27T11:26:00.000000000Z,9683,2924,9896,33,431,7238
2024-10-26T16:05:45.000000000Z,6269,3566,6258,916,2650,5517
2024-10-27T05:49:28.000000000Z,7177,2415,4436,4430,1666,8758
2024-10-27T02:16:51.000000000Z,8780,6626,6646,1860,634,563
2024-10-27T06:36:45.000000000Z,8738,5618,2710,3559,2936,9037
2024-10-27T03:57:25.000000000Z,9361,9028,7063,3578,8175,346
2024-10-26T20:37:49.000000000Z,2691,3236,7445,3347,5809,7224
2024-10-27T12:18:50.000000000Z,9537,4658,5939,3440,6085,7833
2024-10-27T04:56:35.000000000Z,9986,6851,3709,9639,8008,2409
2024-10-27T04:17:38.000000000Z,4209,6230,8718,2524,7365,8494
2024-10-26T19:46:38.000000000Z,2592,893,2561,9146,4826,7234
2024-10-27T10:12:42.000000000Z,9856,1479,9022,7987,3356,4206
2024-10-27T13:33:15.000000000Z,1424,134,3022,1393,7056,7940
2024-10-26T16:04:08.000000000Z,8295,8539,571,6801,6194,8791
2024-10-27T07:14:20.000000000Z,364,455,2575,8374,9850,606
2024-10-26T22:48:49.000000000Z,2656,5688,9762,3944,5966,4378
2024-10-27T10:42:11.000000000Z,5466,4452,3955,3544,4766,4659
2024-10-27T04:41:17.000000000Z,3940,9252,959,4249,2292,8774
2024-10-26T18:18:06.000000000Z,3917,4774,8213,2736,6140,1319
2024-10-27T06:34:32.000000000Z,2519,4266,5587,6155,2599,450
2024-10-27T10:47:13.000000000Z,7192,4085,9529,8666,3102,4946
2024-10-26T23:28:48.000000000Z,3586,5807,4243,4615,1642,4036
2024-10-26T20:41:14.000000000Z,696,1625,8451,2877,5813,2623
2024-10-26T15:29:48.000000000Z,5185,6274,616,6192,3033,1073
2024-10-26T15:42:52.000000000Z,9194,8100,42,6584,3632,4324
2024-10-26T16:46:54.000000000Z,2859,3076,9048,300,2024,2833
2024-10-27T12:59:52.000000000Z,5633,2034,117,5667,6260,2940
